Step,"Grouped runs - Client #1, train_avg_loss","Grouped runs - Client #1, train_avg_loss__MIN","Grouped runs - Client #1, train_avg_loss__MAX","Grouped runs - Client #2, train_avg_loss","Grouped runs - Client #2, train_avg_loss__MIN","Grouped runs - Client #2, train_avg_loss__MAX","Grouped runs - Client #3, train_avg_loss","Grouped runs - Client #3, train_avg_loss__MIN","Grouped runs - Client #3, train_avg_loss__MAX","Grouped runs - Client #4, train_avg_loss","Grouped runs - Client #4, train_avg_loss__MIN","Grouped runs - Client #4, train_avg_loss__MAX","Grouped runs - Client #5, train_avg_loss","Grouped runs - Client #5, train_avg_loss__MIN","Grouped runs - Client #5, train_avg_loss__MAX",avg,min,max
3915,,,,1.580240369,1.580240369,1.580240369,,,,,,,,,,1.387934935,0.956445992,1.587787271
3963,0.956445992,0.956445992,0.956445992,,,,,,,,,,,,,1.291004407,0.956445992,1.587787271
3971,,,,,,,1.587787271,1.587787271,1.587787271,,,,,,,1.40096786,1.09558773,1.587787271
3978,,,,,,,,,,1.235735416,1.235735416,1.235735416,,,,1.435499549,1.09558773,1.760445714
3987,,,,1.579465628,1.579465628,1.579465628,,,,,,,,,,1.486178875,1.09558773,1.760445714
4016,1.09558773,1.09558773,1.09558773,,,,,,,,,,,,,1.456739521,1.09558773,1.760445714
4027,,,,1.506263256,1.506263256,1.506263256,,,,,,,,,,1.50899384,1.356859326,1.760445714
4035,,,,,,,,,,,,,1.760445714,1.760445714,1.760445714,1.471403599,1.318312049,1.760445714
4081,,,,,,,1.489132047,1.489132047,1.489132047,,,,,,,1.442127132,1.318312049,1.614063382
4085,,,,1.432268858,1.432268858,1.432268858,,,,,,,,,,1.4471843,1.318312049,1.614063382
4086,,,,,,,,,,,,,1.356859326,1.356859326,1.356859326,1.443535066,1.318312049,1.614063382
4100,,,,,,,,,,1.318312049,1.318312049,1.318312049,,,,1.420567465,1.242021322,1.614063382
4115,,,,,,,1.614063382,1.614063382,1.614063382,,,,,,,1.416883039,1.242021322,1.614063382
4143,,,,,,,,,,1.514417887,1.514417887,1.514417887,,,,1.339275861,1.226027489,1.514417887
4195,,,,,,,,,,,,,1.414022684,1.414022684,1.414022684,1.328325701,1.226027489,1.459667087
4203,,,,,,,,,,1.242021322,1.242021322,1.242021322,,,,1.23408463,0.94281733,1.459667087
4250,,,,,,,,,,1.299889922,1.299889922,1.299889922,,,,1.310839486,0.94281733,1.625795603
4253,1.226027489,1.226027489,1.226027489,,,,,,,,,,,,,1.259347701,0.94281733,1.625795603
4269,,,,,,,1.459667087,1.459667087,1.459667087,,,,,,,1.323984313,0.94281733,1.625795603
4314,,,,0.94281733,0.94281733,0.94281733,,,,,,,,,,1.32705276,0.94281733,1.625795603
4315,,,,,,,,,,,,,1.625795603,1.625795603,1.625795603,1.518114042,1.042430997,1.898123741
4323,1.042430997,1.042430997,1.042430997,,,,,,,,,,,,,1.455037069,1.042430997,1.898123741
4344,,,,,,,1.549210548,1.549210548,1.549210548,,,,,,,1.544138598,1.310410738,1.898123741
4352,,,,1.475009322,1.475009322,1.475009322,,,,,,,,,,1.523868179,1.310410738,1.898123741
4377,,,,,,,1.898123741,1.898123741,1.898123741,,,,,,,1.497076154,1.310410738,1.898123741
4384,1.310410738,1.310410738,1.310410738,,,,,,,,,,,,,1.382312202,1.310410738,1.487938643
4416,,,,,,,1.487938643,1.487938643,1.487938643,,,,,,,1.395282698,1.324303985,1.487938643
4426,,,,,,,,,,,,,1.447858453,1.447858453,1.447858453,1.397616553,1.324303985,1.499607921
4442,,,,1.341049194,1.341049194,1.341049194,,,,,,,,,,1.373405051,1.324303985,1.499607921
4447,,,,,,,,,,1.324303985,1.324303985,1.324303985,,,,1.389153123,1.324303985,1.499607921
4472,,,,,,,1.375263214,1.375263214,1.375263214,,,,,,,1.47146337,1.326800942,1.735855222
4481,,,,,,,,,,1.499607921,1.499607921,1.499607921,,,,1.455165505,1.29377389,1.735855222
4510,,,,,,,1.326800942,1.326800942,1.326800942,,,,,,,1.462987375,1.29377389,1.735855222
4546,,,,,,,1.419789553,1.419789553,1.419789553,,,,,,,1.541867566,1.29377389,1.735855222
4591,,,,,,,,,,,,,1.735855222,1.735855222,1.735855222,1.485289574,1.13689959,1.735855222
4617,,,,1.29377389,1.29377389,1.29377389,,,,,,,,,,1.397595668,1.13689959,1.721201897
4626,,,,,,,1.53871727,1.53871727,1.53871727,,,,,,,1.37267282,1.13689959,1.721201897
4687,,,,,,,,,,,,,1.721201897,1.721201897,1.721201897,1.356014919,1.13689959,1.721201897
4696,,,,,,,,,,1.13689959,1.13689959,1.13689959,,,,1.303625059,1.13689959,1.459252596
4697,,,,,,,1.297385693,1.297385693,1.297385693,,,,,,,1.392716837,1.169159651,1.582358479
4757,,,,1.169159651,1.169159651,1.169159651,,,,,,,,,,1.423753119,1.169159651,1.582358479
4769,,,,,,,1.455427766,1.455427766,1.455427766,,,,,,,1.493191957,1.452567101,1.582358479
4795,1.459252596,1.459252596,1.459252596,,,,,,,,,,,,,1.47948277,1.386881828,1.582358479
4817,,,,1.582358479,1.582358479,1.582358479,,,,,,,,,,1.508947325,1.386881828,1.60657537
4819,,,,,,,,,,,,,1.452567101,1.452567101,1.452567101,1.425020385,1.16272378,1.60657537
4848,,,,,,,,,,1.516353846,1.516353846,1.516353846,,,,1.455875874,1.16272378,1.606844544
4849,,,,,,,,,,,,,1.386881828,1.386881828,1.386881828,1.407887125,1.16272378,1.606844544
4898,,,,1.60657537,1.60657537,1.60657537,,,,,,,,,,1.361471057,1.154801488,1.606844544
4930,,,,,,,,,,1.16272378,1.16272378,1.16272378,,,,1.257567358,1.087056875,1.606844544
4943,,,,,,,1.606844544,1.606844544,1.606844544,,,,,,,1.275633097,1.087056875,1.606844544
4968,,,,,,,,,,,,,1.276410103,1.276410103,1.276410103,1.202411103,1.087056875,1.276410103
4988,1.154801488,1.154801488,1.154801488,,,,,,,,,,,,,1.168123055,1.087056875,1.253052473
5001,,,,,,,,,,1.087056875,1.087056875,1.087056875,,,,1.195105052,1.087056875,1.289711475
5014,,,,1.253052473,1.253052473,1.253052473,,,,,,,,,,1.236013579,1.104969859,1.291599512
5043,,,,,,,,,,,,,1.240734577,1.240734577,1.240734577,1.284133911,1.104969859,1.493654132
5050,,,,,,,,,,1.104969859,1.104969859,1.104969859,,,,1.317143726,1.104969859,1.493654132
5054,,,,1.289711475,1.289711475,1.289711475,,,,,,,,,,1.354788733,1.289711475,1.493654132
